Description,Verdict,Character
"The ambitious and tyrannical King of England, driven by his desire for a male heir and absolute power.",Bad,King Henry VIII
"Henry's devout and dignified first wife, whom he casts aside.",Good,Queen Katherine
"The captivating and ambitious lady-in-waiting who becomes Henry's second wife, precipitating England's break from the Catholic Church.",Ambiguous,Anne Boleyn
"A powerful, corrupt, and ambitious churchman who serves as Henry's chief advisor until his failure to secure the king's divorce.",Bad,Cardinal Wolsey
"The narrator and protagonist, a fiercely independent and compassionate nurse serving in a Union hospital during the Civil War.",Good,Tribulation Periwinkle
A stoic and noble Virginian blacksmith turned soldier; a patient who faces his death with profound dignity.,Good,John
The head of the hospital; a stern but ultimately caring figure responsible for order and discipline.,Good,The Matron
"One of the hospital surgeons; portrayed as competent and professional, representing the medical establishment.",Good,Dr. P
The brilliant and rational consulting detective who methodically uncovers the truth behind the seemingly supernatural curse.,Good,Sherlock Holmes
"Holmes' loyal companion and the story's narrator; he is brave, practical, and serves as the reader's guide.",Good,Dr. John Watson
The new heir to the Baskerville estate; a courageous but vulnerable man who is the target of the plot.,Good,Sir Henry Baskerville
"The primary antagonist; a cunning and ruthless naturalist who is secretly a Baskerville, plotting murder to claim the inheritance.",Bad,Jack Stapleton
"Represents the millions living in squalid, overcrowded, and unsanitary conditions, often exploited by landlords.",Bad (Situation),The Tenement Dweller
"A term for the homeless children of the slums, forced to survive through petty jobs or crime.",Bad (Situation),The Street Arab
"An individual, typically an immigrant, toiling for long hours in dangerous conditions for minimal pay.",Bad (Situation),The Sweatshop Worker
"Youths who form gangs for protection and identity in the absence of societal support, often engaging in violence.",Bad (Situation),The Gang Member
"An intelligent and idealistic woman from a cultured, intellectual family who seeks to 'only connect' the world of passion and prose.",Good,Margaret Schlegel
"Margaret's younger, more passionate and impulsive sister, whose actions often drive the plot.",Good,Helen Schlegel
"A pragmatic and wealthy businessman who represents the materialistic, unexamined life of the English upper class.",Ambiguous,Henry Wilcox
"A poor, aspirational insurance clerk who tragically becomes entangled with both the Schlegel and Wilcox families.",Good,Leonard Bast
"A witty, cynical, and self-aware 'idle' man who offers humorous philosophical observations on everyday life.",Good,The Narrator (Jerome)
"The archetype the narrator embodies, celebrating the virtues of laziness and contemplation over strenuous work.",Good,The 'Idle Fellow'
"A recurring archetype in Victorian humor representing the practical, often frustrating, realities that intrude upon an idle life.",Ambiguous,The Landlady
"An archetype discussed by the narrator, portrayed as a ridiculous and comically irrational figure.",Good (for comedic effect),The Man in Love
The preeminent Greek warrior; a demigod whose monumental rage and pride drive the central conflict of the epic.,Ambiguous,Achilles
The noble prince and greatest warrior of Troy; a devoted family man who fights to defend his city.,Good,Hector
The commander of the Greek armies; his arrogance and greed cause the ruinous feud with Achilles.,Bad,Agamemnon
The legendary queen of Sparta whose abduction by Paris instigated the Trojan War; a figure of immense beauty and tragic consequence.,Ambiguous,Helen
"The collective voice of the dead, speaking from the grave to implore the living to continue the fight and honor their sacrifice.",Good,The Fallen Soldier
The intended recipient of the fallen's message; represents the generation of soldiers tasked with carrying on the duty to achieve victory.,Good,The Living Comrade
"The observant, empathetic narrator (representing John McCrae himself) who chronicles the profound loss and stoic bravery of the conflict.",Good,The Poet-Physician
"The figure of the mother, wife, or child left behind, embodying the sorrow and enduring impact of war on the home front.",Good,The Grieving Loved One
The pastor who challenges his congregation—and himself—to live every moment by the standard of 'What would Jesus do?'.,Good,Reverend Henry Maxwell
A gifted singer who forsakes a lucrative career in entertainment to use her voice for ministry and social uplift.,Good,Rachel Winslow
"The principled editor of a major newspaper who risks his business to run it according to Christian ethics, prioritizing truth over profit.",Good,Edward Norman
A wealthy heiress who dedicates her immense fortune and social standing to philanthropy and aiding the city's poor.,Good,Virginia Page
"The protagonist; a refined, educated woman of mixed race, raised white, who embraces her Black heritage after being freed from slavery and dedicates her life to racial uplift.",Good,Iola Leroy
Iola's long-lost uncle; a physician who passes for white but chooses to live and work within the Black community.,Good,Dr. Robert Johnson
Iola's courageous brother who serves in the Union Army and embarks on a determined search for his lost mother and sister after the war.,Good,Harry Leroy
"A wise, resilient, formerly enslaved woman who embodies the folk wisdom and unyielding spirit of her people.",Good,Aunt Linda
"A chivalrous Saxon knight, disinherited for his loyalty to the Norman King Richard, who fights to reclaim his honor and his love.",Good,Wilfred of Ivanhoe
A skilled Jewish healer of extraordinary beauty and virtue who faces intense prejudice with grace and courage.,Good,Rebecca of York
"A formidable and conflicted Knight Templar; Ivanhoe's primary antagonist, whose villainy is complicated by his tormented passion for Rebecca.",Bad,Sir Brian de Bois-Guilbert
The heroic 'Lion-Hearted' King of England who returns disguised as 'The Black Knight' to restore justice to his kingdom.,Good,King Richard I
"The elusive protagonist, a young Englishman whose life is retrospectively pieced together by others after his death in World War I.",Ambiguous,Jacob Flanders
"Jacob's widowed mother, whose conventional perspective provides a glimpse into his sheltered childhood.",Good,Betty Flanders
"A proper and gentle young woman who represents a potential, but ultimately unfulfilled, conventional romance for Jacob.",Good,Clara Durrant
"A vivacious and sexually liberated woman with whom Jacob has an affair, representing a bohemian counterpoint to polite society.",Ambiguous,Florinda
The powerful Roman general whose perceived ambition to be king makes him the target of a murderous conspiracy.,Ambiguous,Julius Caesar
"A noble, high-minded senator and friend of Caesar who joins the conspiracy, tragically believing it is for the good of Rome.",Good,Marcus Brutus
The envious and manipulative instigator of the plot against Caesar.,Bad,Cassius
Caesar's loyal friend and a brilliant orator who skillfully turns the Roman populace against the conspirators.,Ambiguous,Mark Antony
A pragmatic and honorable young Lowlander who is cheated of his inheritance and forced on an adventure across the Scottish Highlands.,Good,David Balfour
A flamboyant and fiercely loyal Jacobite Highlander; a skilled fighter who becomes David's protector and companion.,Good,Alan Breck Stewart
"David's cruel, miserly uncle who arranges his nephew's kidnapping in order to steal his inheritance.",Bad,Ebenezer Balfour
The unscrupulous sea captain who conspires with Ebenezer to abduct David and sell him into slavery.,Bad,Captain Hoseason
"A clever orphan boy of Irish descent living as a native in India, recruited as a spy in the 'Great Game' between Britain and Russia.",Good,Kimball 'Kim' O'Hara
An elderly Tibetan holy man on a spiritual quest who becomes Kim's master and spiritual guide.,Good,The Lama
A charismatic Pashtun horse trader and British intelligence agent who acts as a mentor and protector for Kim.,Good,Mahbub Ali
A British spymaster and ethnologist who recognizes Kim's unique talents and formally inducts him into the secret service.,Good,Colonel Creighton
"The insecure and opportunistic King of England, whose reign is defined by his struggle to legitimize his weak claim to the throne.",Bad,King John
"The witty, pragmatic, and patriotic illegitimate son of King Richard I; he emerges as the play's moral compass and hero.",Good,Philip the Bastard
King John's young nephew and the rightful heir to the throne; an innocent pawn in the corrupt game of politics.,Good,Arthur of Brittany
"Arthur's fiercely ambitious mother, whose powerful expressions of grief and rage dominate her scenes.",Good,Constance
"An aging British monarch whose vanity and poor judgment lead him to banish his only loyal daughter, resulting in his descent into madness and tragedy.",Ambiguous,King Lear
"Lear's youngest daughter; her refusal to offer false flattery represents a pure, uncompromising honesty for which she is tragically punished.",Good,Cordelia
Lear's two eldest daughters; their initial declarations of love are a facade for their ruthless ambition and cruelty.,Bad,Goneril & Regan
"The cunning and amoral illegitimate son of Gloucester, who masterfully schemes against his father and brother to seize power.",Bad,Edmund
"The beautiful, charming, and seemingly perfect protagonist who is revealed to be a manipulative bigamist with a dark and criminal past.",Bad,Lady Audley (Lucy Graham)
"An idle, upper-class barrister who is roused into the role of a determined detective to uncover the truth behind his friend's disappearance.",Good,Robert Audley
"Lady Audley's first husband, whose sudden reappearance and subsequent disappearance trigger the novel's central mystery.",Good,George Talboys
"Lady Audley's loyal but ambitious lady's maid, who is both an accomplice to and a blackmailer of her mistress.",Bad,Phoebe Marks
"The heroic, skilled, and deeply moral white frontiersman who serves as a bridge between the European and Native American worlds.",Good,Natty Bumppo (Hawkeye)
"The son of Chingachgook; a brave, swift, and noble warrior known as 'The Last of the Mohicans.'",Good,Uncas
The primary antagonist; a cunning and vengeful Huron chief driven by a deep-seated hatred for Colonel Munro.,Bad,Magua
"A wise and stoic Mohican chief, father of Uncas, and Hawkeye's steadfast companion.",Good,Chingachgook
The noble founder of the Knights of the Round Table; the epitome of a just king whose reign is ultimately destroyed by human frailty and betrayal.,Good,King Arthur
"Arthur's greatest knight and dearest friend, whose prowess is matched only by the fatal flaw of his adulterous love for Queen Guinevere.",Ambiguous,Sir Lancelot
"Arthur's queen, whose love for Lancelot precipitates the downfall of Camelot and the fellowship of the Round Table.",Ambiguous,Queen Guinevere
"Arthur's illegitimate son, whose treacherous and villainous actions directly bring about the final, tragic battle and the death of the king.",Bad,Sir Mordred
"A persona for Walt Whitman that also serves as a universal 'everyman,' embracing all of humanity and celebrating the democratic self.",Good,The 'I' (The Speaker)
"The idealized citizen celebrated by the speaker; a self-reliant, egalitarian individual connected to both nature and industry.",Good,The American Democrat
"A central, celebrated figure in the poems; treated as sacred, equal to the soul, and a source of profound connection and vitality.",Good,The Body
"The transcendent, eternal self that the speaker sees as interconnected with all other souls, nature, and the cosmos.",Good,The Soul
The protagonist from the 19th century who awakens in a socialist utopia in the year 2000; he serves as the reader's inquisitive guide to this new world.,Good,Julian West
"Julian's wise and patient host in the future, who methodically explains the logic and virtues of his society's economic and social systems.",Good,Dr. Leete
"Dr. Leete's compassionate daughter, who befriends Julian and provides a crucial emotional and romantic link between his past and present.",Good,Edith Leete
"An archetype representing the greed and inefficiency of the 19th-century industrial system, which the novel relentlessly critiques.",Bad,The Capitalist
"The King of Navarre, who persuades his lords to swear a foolish oath to forsake women for three years of academic study.",Good,King Ferdinand
The most witty and skeptical of the king's lords; he is the quickest to recognize the folly of their oath and the most eloquent in defending their choice to break it.,Good,Berowne
"A clever and poised diplomat who, along with her ladies, effortlessly dismantles the lords' academic vows with her sharp intellect.",Good,Princess of France
"A sharp-tongued lady-in-waiting who is a perfect verbal match for the witty Berowne, challenging his cleverness at every turn.",Good,Rosaline
The brilliant and determined Athenian woman who organizes a pan-Hellenic women's sex strike to force the men to end the Peloponnesian War.,Good,Lysistrata
Lysistrata's neighbor and first supporter; a more conventionally feminine character who is quickly won over to the radical cause.,Good,Cleonice
"An Athenian wife who masterfully executes the plan by seducing her desperate husband, Cinesias, only to refuse him at the climax.",Good,Myrrhine
"A bumbling, chauvinistic Athenian official who represents the incompetence of the male leadership and is soundly humiliated by the women.",Bad,The Magistrate
"A noble Scottish general whose unchecked ambition, ignited by a prophecy, drives him to murder and tyranny, leading to his ruin.",Bad,Macbeth
"Macbeth's fiercely ambitious wife, who initially urges him to commit regicide but is later consumed by crippling guilt.",Bad,Lady Macbeth
Supernatural beings who deliver ambiguous prophecies that manipulate Macbeth's ambition and serve as agents of chaos.,Bad,The Three Witches
A noble Scottish thane who opposes Macbeth's tyranny from the outset and ultimately emerges as the hero who slays him.,Good,Macduff
"The protagonist, a provincial wife whose desperate longing for romance and luxury, fueled by romantic novels, leads her into adultery, debt, and tragedy.",Ambiguous,Emma Bovary
"Emma's kind, devoted, but dull and mediocre husband; a simple country doctor who remains blissfully unaware of his wife's inner turmoil and deceptions.",Good,Charles Bovary
"A wealthy and cynical landowner who becomes Emma's first lover, seducing and abandoning her with calculated cruelty.",Bad,Rodolphe Boulanger
"The town's pompous and self-important pharmacist, a master of bourgeois cliché who embodies the novel's critique of middle-class pretension.",Bad,Monsieur Homais
"The protagonist, a young woman from the slums who yearns for beauty and escape but is ultimately destroyed by her environment and society's hypocrisy.",Good,Maggie Johnson
"Maggie's brother, who adapts to the slum's brutality by becoming cynical and aggressive, ultimately contributing to his sister's downfall.",Ambiguous,Jimmie Johnson
"The mother of Maggie and Jimmie; a vicious, self-righteous alcoholic who hypocritically condemns her daughter while engaging in violent behavior.",Bad,Mary Johnson
A charismatic bartender who represents a chance of escape for Maggie; he seduces her with a glimpse of a better life before callously abandoning her.,Bad,Pete
"The eldest Pandava, the embodiment of dharma, whose one great flaw—a passion for gambling—leads to his family's ruin and exile.",Good,Yudhishthira
The third Pandava and the greatest archer of his age; a central heroic figure to whom Krishna imparts the wisdom of the Bhagavad Gita.,Good,Arjuna
"The proud and fiery common wife of the Pandavas, whose public humiliation at the hands of the Kauravas makes war inevitable.",Good,Draupadi
"The eldest Kaurava prince and primary antagonist; a man consumed by jealousy, greed, and a lust for power.",Bad,Duryodhana
"The secret, elder half-brother of the Pandavas; a tragic and noble warrior whose loyalty to Duryodhana places him on the wrong side of the war.",Ambiguous,Karna
"The second Pandava, known for his immense strength and fierce temper; the most physically powerful warrior in the Pandava army.",Good,Bhima
"The cunning and malevolent maternal uncle of the Kauravas, who masterminds the dice game and consistently fuels Duryodhana's hatred.",Bad,Shakuni
"The grand-uncle of the warring cousins, a peerless warrior bound by a vow to protect the throne, forcing him to fight for the Kauravas.",Good,Bhishma
"The royal military guru to both factions; like Bhishma, his duty binds him to fight on the side of the Kauravas.",Ambiguous,Dronacharya
"An avatar of the god Vishnu; he serves as the Pandavas' divine guide, strategist, and Arjuna's charioteer.",Good,Krishna
An idealistic Salvation Army officer whose faith is challenged when she must confront the source of her father's wealth.,Good,Major Barbara Undershaft
"Barbara's father; a charming, pragmatic, and fabulously wealthy armaments manufacturer who believes poverty is the ultimate crime.",Ambiguous,Andrew Undershaft
A witty professor of Greek and Barbara's fiancé; he is intellectually matched with Undershaft and becomes his chosen heir.,Good,Adolphus Cusins
"The formidable, aristocratic matriarch of the family who, despite her moral pronouncements, is reliant on Undershaft's money.",Ambiguous,Lady Britomart Undershaft
Barbara's brother; a conventional and somewhat inept young man who is deemed unfit to inherit the family business.,Good,Stephen Undershaft
A brutish ruffian who assaults two Salvation Army members and becomes a test case for Barbara's methods of salvation.,Bad,Bill Walker
"Barbara's pretty but conventional sister, engaged to a foolish young aristocrat.",Good,Sarah Undershaft
"Sarah's fiancé, a stereotypical and comically silly member of the upper class.",Good,Charles Lomax
"The protagonist, an idealistic and educated young woman who marries a small-town doctor and tries to reform the provincial mindset of Gopher Prairie.",Good,Carol Milford Kennicott
"Carol's husband; a practical, kind, and respected small-town physician who is content with his life and cannot understand Carol's discontent.",Good,Dr. Will Kennicott
The town's thoughtful but melancholic lawyer; a kindred spirit to Carol who lacks the will to escape the town's stifling influence.,Ambiguous,Guy Pollock
A high school teacher and the town's staunchest defender; she represents an intelligent person who has fully embraced the town's values.,Good,Vida Sherwin
"The Kennicotts' kind-hearted and loyal Swedish maid, who represents simple, unpretentious goodness.",Good,Bea Sorenson
"A sensitive and artistic tailor's assistant with whom Carol forms a close, but scandalous, friendship.",Good,Erik Valborg
A jovial hardware store owner and the epitome of the friendly but intellectually vapid Gopher Prairie businessman.,Good,Sam Clark
The wife of the Baptist deacon; a gossipy and judgmental woman who embodies the town's most repressive social attitudes.,Bad,Mrs. Bogart
"The brilliant, revolutionary protagonist, author of 'The Revolutionist's Handbook,' who is horrified to find himself pursued for marriage by Ann Whitefield.",Good,John 'Jack' Tanner
"The charming and seemingly conventional young woman who is revealed to be the relentless embodiment of the 'Life Force,' determined to capture Tanner as her mate.",Ambiguous,Ann Whitefield
"Ann's co-guardian with Tanner; a stuffy, old-fashioned liberal who is constantly shocked by Tanner's radical ideas.",Good,Roebuck Ramsden
"A sensitive poet who is hopelessly in love with Ann and serves as Tanner's romantic rival, though he stands no chance.",Good,Octavius Robinson
Tanner's Cockney chauffeur; a highly skilled and pragmatic member of the new working class who is more modern than his employer.,Good,Henry Straker
Octavius's sister; a shockingly practical young woman who defies convention by getting pregnant and securing her husband.,Good,Violet Robinson
"A philosophizing brigand who captures Tanner in Spain and who, in the 'Don Juan in Hell' dream sequence, is the Devil.",Ambiguous,Mendoza
Tanner's ancestor and dream-sequence counterpart; a philosopher who has fled Hell for the intellectual rigors of Heaven.,Good,Don Juan Tenorio
"The protagonist, a beautiful seamstress from a working-class family, caught between a wealthy suitor and her true love, Jem Wilson.",Good,Mary Barton
"Mary's father, a weaver and passionate trade unionist whose despair over social injustice drives him to commit murder.",Ambiguous,John Barton
An inventive and steadfast engineer who has loved Mary since childhood and is wrongly accused of the murder of Harry Carson.,Good,Jem Wilson
